DPA_PARROQ,DPA_DESPAR,altura_mean,pendiente_mean,distancia_rios,precipitaciones_mean,DPA_DESPRO,DPA_DESCAN,riesgo_inundacion,Densidad Poblacional,rango_altitudinal,riesgo_inundacion_cod,riesgo_predicho,probabilidad_riesgo_alto
040251,GARCIA MORENO,2812.26153444847,89.9865356995582,1758.99445234988,63.8674362500509,CARCHI,BOLIVAR,Nulo,23.0,1802,3,Nulo,0.01
040252,LOS ANDES,2348.01920166631,89.9795453511691,34.8992212638407,61.7586535983615,CARCHI,BOLIVAR,Bajo,43.0,1380,1,Bajo,0.03
040253,MONTE OLIVO,3087.18629833952,89.9974025408982,1283.47799537272,73.6779114178249,CARCHI,BOLIVAR,Medio,24.0,2125,2,Bajo,0.01
040254,SAN VICENTE DE PUSIR,1867.99278107835,89.9555625240761,2320.60478120396,46.6658794739667,CARCHI,BOLIVAR,Bajo,53.0,1145,1,Nulo,0.05
040255,SAN RAFAEL,2303.15141308674,89.9697019839309,1.13987585199664,55.7246820009672,CARCHI,BOLIVAR,Medio,63.0,1773,2,Bajo,0.05
040350,EL ANGEL,3310.33729752238,89.9627839957687,155.351046345506,74.4678334581091,CARCHI,ESPEJO,Nulo,62.0,1546,3,Bajo,0.01
040351,EL GOALTAL,2304.31768801348,89.9985106181999,2470.38492377322,91.5582597358375,CARCHI,ESPEJO,Bajo,3.0,3003,1,Bajo,0.07
040352,LA LIBERTAD,3603.68214461201,89.961033820397,48.8755657398364,81.4334117701796,CARCHI,ESPEJO,Nulo,25.0,1443,3,Bajo,0.0
040353,SAN ISIDRO,3108.92285146242,89.9743640027631,30.2558016202705,65.5595999265972,CARCHI,ESPEJO,Medio,64.0,1562,2,Nulo,0.01
040450,MIRA,2507.85641088664,89.9878218924503,367.189272132949,55.4819422342691,CARCHI,MIRA,Nulo,67.0,2363,3,Bajo,0.05
040451,CONCEPCION,2243.6194815547,89.9955550134036,2749.76813043559,67.4465202581687,CARCHI,MIRA,Medio,18.0,3028,2,Bajo,0.08
040452,JIJON Y CAAMANO,1373.89572690606,89.9959568079642,1107.98994872704,130.154010657108,CARCHI,MIRA,Nulo,7.0,2290,3,Medio,0.21
040453,JUAN MONTALVO,2026.87252932525,89.986432574386,1896.22703169142,61.9690247490293,CARCHI,MIRA,Nulo,26.0,2045,3,Nulo,0.07
040550,SAN GABRIEL,3085.10627700824,89.9681846233881,666.078246026712,85.4916702906291,CARCHI,MONTUFAR,Nulo,141.0,1182,3,Nulo,0.01
040551,CRISTOBAL COLON,2970.93229683216,89.9211639934852,1050.51843196493,83.1274782816569,CARCHI,MONTUFAR,Nulo,89.0,911,3,Nulo,0.01
040552,CHITAN DE NAVARRETE,3261.02048358656,89.9567286091187,1343.05021376041,86.0129346847534,CARCHI,MONTUFAR,Nulo,16.0,968,3,Nulo,0.0
040553,FERNANDEZ SALVADOR,3227.14626759309,89.9920896927388,1486.4096448681,94.5264238210825,CARCHI,MONTUFAR,Nulo,36.0,1307,3,Nulo,0.0
040554,LA PAZ,3022.44313895402,89.9594265609219,243.253493558452,70.7426017090514,CARCHI,MONTUFAR,Bajo,30.0,1708,1,Bajo,0.01
040555,PIARTAL,3066.74950104908,89.9931304601337,1449.48157923215,94.5415327889579,CARCHI,MONTUFAR,Bajo,50.0,941,1,Nulo,0.01
040650,HUACA,3003.32773719416,89.9869535676486,1433.06469182947,96.9398142496745,CARCHI,SAN PEDRO DE HUACA,Medio,149.0,858,2,Nulo,0.01
040651,MARISCAL SUCRE,3395.68971946532,89.9922855277185,1647.26329675855,97.8591373150165,CARCHI,SAN PEDRO DE HUACA,Nulo,45.0,1338,3,Nulo,0.0
050150,LATACUNGA,3293.78532753211,89.9281550331567,1162.90750420527,64.2570854614828,COTOPAXI,LATACUNGA,Nulo,472.0,1507,3,Medio,0.06
050151,ALAQUEZ,3524.46628202169,89.9417775962336,2816.11315719803,74.5973036491265,COTOPAXI,LATACUNGA,Nulo,55.0,1305,3,Nulo,0.0
